2018141910023,6.25,6.6875,33.125,Q7-5:Q5-2
2018141910244,3.75,4.5,55.0,Q21-1:Q32-2
2018141910414,3.0,3.875,61.25,Q21-2:Q15-2
2018141910015,3.0,4.375,56.25,Q32-10:Q41-20
2018141910317,3.25,4.125,58.75,Q15-1:Q40-3
2018141910066,6.25,6.875,31.25,Q7-3:Q5-2
2018141910171,2.75,3.875,61.25,Q4-0:Q5-3
2018141910295,5.0,5.9375,40.625,Q26-1:Q20-1
2018141910341,4.5,5.0625,49.375,Q22-4:Q17-2
2018141910120,3.5,4.1875,58.125,Q3-0:Q21-4
2018141910260,5.5,5.875,41.25,Q30-3:Q2-5
2018141910384,3.5,4.4375,55.625,Q36-1:Q26-2
2018141910201,5.75,6.3125,36.875,Q43-9:Q14-0
2018141910287,2.25,3.8125,61.875,Q43-2:Q2-0
2018141910422,3.75,4.625,53.75,Q2-1:Q5-2
2018141910309,3.0,3.9375,60.625,Q6-1:Q2-0
2018141910155,1.75,3.5,65.0,Q44-2:Q40-7
2018141910090,2.25,3.5625,64.375,Q4-0:Q42-2
2018141910368,4.0,5.0,50.0,Q7-1:Q16-1
2018141910074,3.5,4.5625,54.375,Q29-1:Q15-1
2018141910236,4.75,5.3125,46.875,Q2-0:Q37-4
2018141910104,2.25,3.25,67.5,Q13-2:Q17-2
2018141910163,4.75,5.0625,49.375,Q43-2:Q29-1
2018141910147,3.0,4.0,60.0,Q7-1:Q42-5
2018141910180,2.75,3.8125,61.875,Q6-2:Q2-8
2018141910139,2.5,3.625,63.75,Q4-0:Q32-1
2018141910252,3.25,4.25,57.5,Q2-0:Q33-2
2018141910031,5.0,5.5625,44.375,Q20-1:Q6-0
2018141910333,2.75,3.6875,63.125,Q44-6:Q41-2
2018141910406,4.75,5.3125,46.875,Q39-1:Q40-1
2018141910198,1.75,2.875,71.25,Q31-1:Q21-3
2018141910112,1.5,2.875,71.25,Q28-1:Q14-1
2018141910392,2.0,3.3125,66.875,Q7-0:Q25-4
2018141910228,1.25,2.625,73.75,Q5-0:Q14-5
